Ecole,Age,Habitat,Parcelle,Nb arbres,Temps,Ganivelles,Emplacement,Enfantsparm2,Surface, Argile,Limon,Sable, MO,N_Tot, Cu, Ni, Pb, Zn,Plagiolepis_pygmaea,Messor_groupe_ibericus,Lasius_groupe_niger,Monomorium_monorium,Crematogaster_scutellaris,Proformica_nasuta,Pheidole_pallidula,Tetramorium_sp,Tapinoma_madeirense,Colobopsis_truncata,Camponotus_piceus,Campanotus_lateralis,Messor_barbarus,Lasius_lasioides,Temnothorax_unifasciatus,Tapinoma_glabrella,Linepithema_humile,Camponotus_fallax,Camponotus_aethiops,Temnothorax_continentalis,Formica_cunicularia,Solenopsis_sp,Tapinoma_erraticum,Tapinoma_groupe_nigerrimum,Hypoponera_eduardi,Formica_rufibarbis,Temnothorax_lichtensteini,Temnothorax_recedens,Themnothorax_sp,Species,Nb_AppatsAnt,Nb_Appats,Activity
Robinson,2022,CpPl,CpPl_25Rob,2,2,1,0,16.0,22.9,341,293.0,367.0,36.6,1.5,37.9,17.5,34.9,53.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100.0
Robinson,2022,CpPl,CpPl_26Rob,2,2,1,1,16.0,48.6,349,307.0,344.0,40.2,1.6,38.7,18.6,22.3,62.5,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,5,100.0
Robinson,2022,CpPl,CpPl_27Rob,1,2,1,0,16.0,9.8,347,349.0,303.0,21.7,1.1,31.2,18.3,21.1,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0
Robinson,2022,CpPl,CpPl_28Rob,1,2,1,0,16.0,19.7,317,302.0,381.0,29.7,1.3,41.5,17.6,23.3,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0
Sun Yan Sen,2022,CpPl,CpPl_29Sun,3,2,0,1,23.5,109.9,262,261.0,476.0,14.3,0.65,58.6,17.9,36.9,55.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,12,41.66666666666667
Sun Yan Sen,2022,CpPl,CpPl_30Sun,1,2,0,0,23.5,27.9,300,257.0,443.0,90.6,3.4,60.6,15.3,46.2,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,50.0
Sun Yan Sen,2022,CpPl,CpPl_31Sun,1,2,0,0,23.5,23.5,403,307.0,290.0,41.9,1.7,128.0,25.5,67.3,75.3,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,100.0
Sun Yan Sen,2022,CpPl,CpPl_32Sun,1,2,0,0,23.5,14.5,386,319.0,294.0,46.2,1.5,130.0,26.5,67.2,73.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,100.0
Sun Yan Sen,2022,CpPl,CpPl_33Sun,1,2,0,0,23.5,16.2,390,300.0,310.0,27.7,1.3,155.0,28.3,76.0,77.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,50.0
Jean Zay,2022,CpPl,CpPl_34Jea,0,2,0,1,6.1,15.75,249,203.2,547.0,43.0,2.1,61.3,16.3,26.8,58.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,1,100.0
