"Ecole","Age","Habitat","Parcelle","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface"," Argile","Limon","Sable"," MO","N_Tot"," Cu"," Ni"," Pb"," Zn","Plagiolepis_pygmaea","Messor_groupe_ibericus","Lasius_groupe_niger","Monomorium_monorium","Crematogaster_scutellaris","Proformica_nasuta","Pheidole_pallidula","Tetramorium_sp","Tapinoma_madeirense","Colobopsis_truncata","Camponotus_piceus","Campanotus_lateralis","Messor_barbarus","Lasius_lasioides","Temnothorax_unifasciatus","Tapinoma_glabrella","Linepithema_humile","Camponotus_fallax","Camponotus_aethiops","Temnothorax_continentalis","Formica_cunicularia","Solenopsis_sp","Tapinoma_erraticum","Tapinoma_groupe_nigerrimum","Hypoponera_eduardi","Formica_rufibarbis","Temnothorax_lichtensteini","Temnothorax_recedens","Themnothorax_sp","Species","Nb_AppatsAnt","Nb_Appats","Activity"
"Dickens","2023","CpPl","CpPl_40Dic","3","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","0","5.3","52.07","198","203.4","599","32.6","1.7","44.7","13.1","58.0","52.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"Dickens","2023","CpPl","CpPl_41Dic","1","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","0","5.3","59.78","359","303","337","47.5","1.9","45.2","8.6","20.4","36.3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","20"
"Dickens","2023","EvEx","CpPl_42Dic","1","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","0","5.3","34.52","258","245","497","64.4","3.4","92.7","17.8","33.8","69.1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","100"
"Petit Prince","2023","EvEx","CpPl_45Pri","3","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","1","1","9.2","55.67","392","282","326","49.4","2.2","74.8","21.8","56","88.4","4","0","5","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","6","6","100"
"Petit Prince","2023","CpPl","CpPl_46Pri","1","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","1","1","9.2","17.43","439","251.7","310","75.8","2.4","35.5","14.9","21.3","52.5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100"
"Petit Prince","2023","CpPl","CpPl_47Pri","1","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","1","1","9.2","34.8","447","268","285","75.1","2.3","38.9","22","26.9","53.7","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","66.666666666667"
"Petit Prince","2023","CpPl","CpPl_48Pri","1","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","1","1","9.2","31.21","449","261","290","64.3","2.3","37.8","19.5","25.6","62.7","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","66.666666666667"
"George Sand","2023","CpUt","CpPl_49San","1","0.263","0","0.05","0.174","0.395","0.118","3","0","3","4","2","1","1.4247997861324","1","0","1","10.6","20.39","315","284","401","37.4","1.8","64.2","24.9","38.2","65.9","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","100"
"Ensoleihat","2023","CpPl","CpPl_50EnsE","3","0.119","0.352","0.023","0.05","0.414","0.042","6","5","5","3","4","1","1.3561819120537","1","1","1","4","26.8","330","332","338","57.7","2.4","77.9","19","27.4","58","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","33.333333333333"
"Ensoleihat","2023","CpPl","CpPl_51EnsE","2","0.119","0.352","0.023","0.05","0.414","0.042","6","5","5","3","4","1","1.3561819120537","1","1","1","4","15.39","297","293","410","26.4","1","44.8","18.6","29.3","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","2","2","100"
"Boulloche","2021","CpUt","CpUt_01Bou","3","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","0","11.6","119.8","206","187.2","607","72.5","1.2","30.4","12.6","17.9","40.2","1","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","12","33.333333333333"
"Boulloche","2021","CpUt","CpUt_02Bou","2","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","0","11.6","46.3","183","210.5","605","44.7","1.5","61.4","17.6","23.7","49.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Boulloche","2021","CpUt","CpUt_03Bou","4","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","0","11.6","237.6","153","195.2","652","35.5","1.5","66.4","14.6","20.1","42.8","1","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","22","13.636363636364"
"Boulloche","2021","CpUt","CpUt_04Bou","3","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","1","1","11.6","103.6","357","225.5","417","35.9","1.6","19.7","11.3","12.7","60.9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","14.285714285714"
"Boulloche","2021","CpUt","CpUt_05Bou","0","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","1","1","11.6","33.6","488","131.1","381.4","23.2","0.73","4.5","10.1","4.2","33.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","33.333333333333"
"Voltaire","2021","CpUt","CpUt_06Vol","5","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","0","10.7","157","302","236.5","462","47.5","2.2","33.9","14.1","25.6","48.1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","12","25"
"Voltaire","2021","CpUt","CpUt_07Vol","7","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","0","10.7","181","338","233.2","430","60.2","2.8","34.5","16.1","30.1","64","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","15","6.6666666666667"
"Voltaire","2021","CpUt","CpUt_08Vol","2","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","0","10.7","50","247","238.8","514","51.6","2.1","47.6","16.8","25.4","57.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Mermoz","2021","CpUt","CpUt_09Mer","4","0.078","0","0.011","0.257","0.588","0.066","1","0","3","6","8","3","1.0911904280319","3","0","0","19","260.7","297","260","442","53.4","2.9","47.3","16.9","27.2","62.7","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","21","14.285714285714"
"Mermoz","2021","CpUt","CpUt_10Mer","1","0.078","0","0.011","0.257","0.588","0.066","1","0","3","6","8","3","1.0911904280319","3","0","1","19","49.1","128","142","730","41.4","1.7","17.7","10.1","16.1","34.7","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","40"
"Kurosawa","2022","CpUt","CpUt_11Kur","3","0.27","0.047","0.03","0.103","0.446","0.103","5","3","5","9","9","1","1.4322444989407","2","0","0","11.7","100.9","364","265","372","75.4","3.7","35.2","17.1","28.3","69.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"Lou Planas","2022","CpUt","CpUt_12Lou","2","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","0","0","11.7","99","325","301","374.2","62","1.8","54.3","24.1","25.6","59.5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","8","12.5"
"Lou Planas","2022","CpUt","CpUt_13Lou","1","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","0","0","11.7","23.6","381","272","347","24.6","1.0","38.7","22.7","20.3","43.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Lou Planas","2022","CpUt","CpUt_14Lou","0","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","0","0","11.7","113.8","361","281","358","39.6","1.4","39.6","22.1","23.9","48.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"Robinson","2022","CpUt","CpUt_15Rob","0","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","0","1","16","44","438","287","275","25.9","0.86","30.7","16.2","12.2","26.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Robinson","2022","CpUt","CpUt_16Rob","0","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","0","0","16","21.4","316","282","401","47.4","1.4","24.4","15.7","16.4","35.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Robinson","2022","CpUt","CpUt_17Rob","0","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","0","0","16","50.5","314","129","471","37.0","1.2","34.7","41.6","19.5","47.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Robinson","2022","CpUt","CpUt_18Rob","0","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","0","0","16","51.7","378","251","371","21.0","0.97","14.2","9.9","7.8","21.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Sun Yan Sen","2022","CpUt","CpUt_19Sun","0","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","0","23.5","243.3","257","231","513","18.5","1.4","29.5","14.5","24.1","41.9","3","0","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","26","42.307692307692"
"Cabrol","2022","CpUt","CpUt_21Cab","0","0.134","0.114","0.024","0.025","0.703","0","4","1","4","1","1","0","0.94740128938107","2","0","0","9.5","59.7","421","343","237.1","35.1","1.6","91.4","21","23.3","45.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","20"
"Cabrol","2022","CpUt","CpUt_22Cab","2","0.134","0.114","0.024","0.025","0.703","0","4","1","4","1","1","0","0.94740128938107","2","0","0","9.5","73.7","439","121","240","20.6","0.88","25.7","34.4","21.3","56.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"Julie Daubie","2022","CpUt","CpUt_25Dau","5","0.079","0.257","0.018","0.051","0.5","0.1","5","5","6","5","5","2","1.3485047373374","2","0","1","41.9","183.5","255","363","382.5","15.6","0.67","9.9","17.7","11.4","30.6","0","0","0","17","5","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","19","42.105263157895"
"Julie Daubie","2022","CpUt","CpUt_26Dau","3","0.079","0.257","0.018","0.051","0.5","0.1","5","5","6","5","5","2","1.3485047373374","2","0","0","41.9","244.6","250","396","354.1","18.2","0.81","32","19.3","23.6","37.7","0","0","0","0","8","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","23","25","92"
"Sibelius","2023","CpUt","CpUt_27Sib","4","0.007","0","0.008","0.352","0.562","0.071","1","0","2","9","7","5","0.95311441318936","1","0","0","7.4","231.56","232","129","539","32.2","1.8","41.1","13.2","50.0","52.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0"
"Sibelius","2023","CpUt","CpUt_28Sib","1","0.007","0","0.008","0.352","0.562","0.071","1","0","2","9","7","5","0.95311441318936","1","0","0","7.4","90.43","203","192.7","604","37.8","2.1","41.1","12","49","50.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","8","12.5"
"Heidelberg","2023","CpUt","CpUt_29Hei","1","0.144","0","0.062","0.34","0.423","0.03","3","0","3","6","4","2","1.2890746173766","1","0","1","7.5","27.97","206","169.6","625","30.4","2.3","34.2","12.5","44.1","52.1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","2","3","66.666666666667"
"Heidelberg","2023","CpUt","CpUt_30Hei","5","0.144","0","0.062","0.34","0.423","0.03","3","0","3","6","4","2","1.2890746173766","1","0","0","7.5","425.81","255","198.6","547","38.3","1.8","90.2","13.7","60.8","69.1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","47","4.2553191489362"
"Dickens","2023","EvEx","CpUt_31Dic","2","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","1","5.3","112.44","220","187.6","592","42.8","1.7","41.8","14.9","51.8","58","1","0","0","0","2","1","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","6","66.666666666667"
"Dickens","2023","CpUt","CpUt_32Dic","2","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","0","5.3","203.96","216","184.3","600","29.3","1.6","67.4","11.9","59.2","48.8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","19","5.2631578947368"
"Dickens","2023","CpUt","CpUt_33Dic","1","0","0.004","0.059","0.111","0.753","0.072","0","1","6","10","8","9","0.83881064201928","1","0","1","5.3","40.49","231","203","566","26.9","1.4","37.3","12.6","74.1","41.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Aquitaine","2023","CpUt","CpUt_35Aqu","3","0.049","0","0.023","0.094","0.83","0.004","4","0","2","9","1","5","0.63559630379233","1","0","0","5.6","147.15","249","238","514","35.7","2.5","46.1","15.4","102","58.2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","16","6.25"
"Petit Prince","2023","CpUt","CpUt_36Pri","1","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","0","0","9.2","17.93","433","292","187","31.8","1.6","30.2","17.4","19.0","42.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Petit Prince","2023","CpUt","CpUt_37Pri","0","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","0","0","9.2","23.8","437","340","183","15.9","0.71","11.5","18.1","11.1","26.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Petit Prince","2023","CpUt","CpUt_38Pri","0","0.315","0","0.051","0.149","0.364","0.121","4","0","3","5","2","1","1.4217274667445","1","0","0","9.2","13.02","414","534","90.4","11.3","0.69","10.2","21.4","12.7","36.8","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","100"
"George Sand","2023","EvEx","CpUt_39San","1","0.263","0","0.05","0.174","0.395","0.118","3","0","3","4","2","1","1.4247997861324","1","1","1","10.6","52.31","420","314","266.2","24.2","1.6","71.7","21.8","63","251","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","80"
"George Sand","2023","CpUt","CpUt_40San","3","0.263","0","0.05","0.174","0.395","0.118","3","0","3","4","2","1","1.4247997861324","1","0","0","10.6","68.3","371","175","254","51.5","2.2","32.9","17.8","31.7","54.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0"
"George Sand","2023","CpUt","CpUt_41San","1","0.263","0","0.05","0.174","0.395","0.118","3","0","3","4","2","1","1.4247997861324","1","0","1","10.6","35","323","308","369.5","33.7","1.4","62.5","23.7","89.5","54.1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","66.666666666667"
"George Sand","2023","CpUt","CpUt_42San","2","0.263","0","0.05","0.174","0.395","0.118","3","0","3","4","2","1","1.4247997861324","1","0","0","10.6","48.78","305","280","414","22.5","1","47.2","24.2","135","114","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","25"
